,systems to detect objects in images,machine learning in smart cities,,,,systems based on artificial intelligence and computer vision to detect patterns in images
1709.00727.json,1,0,,,,
1708.09641.json,1,0,,,,
1709.00657.json,1,0,,,,
1708.09644.json,1-n,0,,,,
1709.01118.json,0,0,,,,
1709.00235.json,1,0,,,,
1709.00340.json,1,0,,,,
1709.00584.json,0,0,,,,
1708.09667.json,0,0,,,,
1708.09321.json,0,0,,,,
1709.00786.json,1,0,,,,
1709.01467.json,0,0,,,,
1705.06524.json,0,0,,,,
1708.09825.json,0,0,,,,
1709.01357.json,1-n,0,,,,
1709.01041.json,0,0,,,,
1709.00308.json,0,0,,,,
1708.09666.json,0,0,,,,
1709.01424.json,1,0,,,,
1709.00300.json,0,0,,,,
1709.00382.json,1-n,0,,,,
1709.01507.json,0,0,,,,
1709.00505.json,1,0,,,,
1708.09684.json,0-n,0,,,,
1709.01212.json,0,0,,,,
1709.00507.json,1,1-n,,,,
1709.01237.json,0,0,,,,
1709.01450.json,0,0,,,,
1709.01476.json,1,0,,,,
1709.00443.json,0,0,,,,
1709.01148.json,0,0,,,,
1709.00751.json,1,1,,,,
1709.01305.json,0,0,,,,
1709.00042.json,0,0,,,,
1708.09300.json,0-n,0,,,,
1708.09740.json,0,0,,,,
1709.00516.json,0,0,,,,
1709.00179.json,1,0,,,,
1704.02792.json,0,0,,,,
1708.09687.json,0,0,,,,
1708.09633.json,1,0,,,,
1709.00141.json,1,0,,,,
1708.09843.json,0,0,,,,
1708.09522.json,1,0,,,,
1709.01442.json,0,0,,,,
1709.00930.json,0,0,,,,
1709.00725.json,0,0,,,,
1709.01421.json,0,0,,,,
1709.01057.json,0,0,,,,
1709.00138.json,0-n,0,,,,
1709.00799.json,0,0,,,,
1709.01500.json,0,0,,,,
1708.09268.json,1-n,1,,,,
1709.00835.json,0,0,,,,
1709.00962.json,0,0,,,,
1709.01362.json,1,0,,,,
1709.00672.json,0,0,,,,
1708.09427.json,1-n,0,,,,
1708.09533.json,0,0,,,,
1708.09461.json,1-n,0,,,,
1709.00192.json,0,0,,,,
1709.00072.json,0,0,,,,
1709.00938.json,0,0,,,,
1708.09585.json,0,0,,,,
1708.07040.json,0,0,,,,
1708.09485.json,1-n,0,,,,
1709.01220.json,1-n,0,,,,
1709.00663.json,1-n,0,,,,
1708.09545.json,0,0,,,,
1709.00531.json,0,0,,,,
1709.01140.json,1,0,,,,
1708.09317.json,1-n,0,,,,
1709.00753.json,0,0,,,,
1709.00265.json,0,0,,,,
1709.01472.json,0,0,,,,
1709.00643.json,0,0,,,,
1709.01353.json,0,0,,,,
1709.00201.json,1-n,0,,,,
1709.00849.json,1-n,0,,,,
1709.01295.json,1,0,,,,
1709.00106.json,0,0,,,,
1708.09642.json,0-n,0,,,,
1708.09832.json,0,0,,,,
1709.00726.json,0,0,,,,
1709.01134.json,0,0,,,,
1709.01182.json,0-n,0,,,,
1708.09839.json,1-n,0,,,,
1709.00536.json,0,0,,,,
1709.01459.json,1,0,,,,
1709.00158.json,0,0,,,,
1709.00029.json,1-n,0,,,,
1709.01355.json,1-n,0,,,,
1708.09580.json,1-n,0,,,,
1709.01077.json,1-n,0,,,,
1709.00069.json,0,0,,,,
1709.00893.json,0,0,,,,
1708.08508.json,0,0,,,,
1708.05565.json,0,0,,,,
1709.00744.json,0,0,,,,
1708.09040.json,0,0,,,,
1404.0953.json,0,0,,,,
1708.09175.json,0,0,,,,
1709.00023.json,0,0,,,,
1708.08296.json,0-n,0,,,,
1709.00155.json,0,0,,,,
1709.00539.json,0,0,,,,
1709.00322.json,0,0,,,,
1709.01490.json,0,0,,,,
1403.8118.json,0,0,,,,
1709.00503.json,0,0,,,,
1709.00653.json,0,0,,,,
1708.07946.json,0,0,,,,
1709.01476.json,1,0,,,,
1708.09251.json,0,0,,,,
1708.09086.json,0,0,,,,
1709.00931.json,0,0,,,,
1709.00513.json,0,0,,,,
1709.00670.json,0,0,,,,
1708.09450.json,0,0,,,,
1709.00149.json,0,0,,,,
1708.08998.json,0,0,,,,
1709.00084.json,0,0,,,,
1708.08113.json,0,0,,,,
1708.08997.json,0,0,,,,
1709.01509.json,0,0,,,,
1708.09427.json,1-n,0,,,,
1709.00410.json,0,0,,,,
1709.00661.json,0,0,,,,
1709.01070.json,0,0,,,,
1708.08985.json,1-n,0,,,,
1708.09453.json,0,0,,,,
1708.08722.json,0,0,,,,
1709.00928.json,0,0,,,,
1709.00103.json,0,0,,,,
1709.01434.json,0,0,,,,
1709.01308.json,0,0,,,,
1708.09441.json,1-n,0,,,,
1708.08079.json,0,0,,,,
1708.08917.json,0,0,,,,
1708.08551.json,0,0,,,,
1709.00662.json,0,0,,,,
1708.07285.json,0,0,,,,
1708.09032.json,0,0,,,,
1708.08559.json,0,0,,,,
1709.01215.json,0,0,,,,
1708.09020.json,0,0,,,,
1709.00348.json,0,0,,,,
1709.01249.json,0-n,0,,,,
1709.01366.json,0,0,,,,
1708.08611.json,0,0,,,,
1708.07940.json,0,0,,,,
1709.01122.json,0,0,,,,
1709.00572.json,0,0,,,,
1709.01075.json,0,0,,,,
1708.09551.json,0,0,,,,
1709.00844.json,0,0,,,,
1708.07862.json,0,0,,,,
1709.00717.json,0,0,,,,
1705.07369.json,0,0,,,,
1708.09573.json,0,0,,,,
1708.07989.json,0,0,,,,
1708.09129.json,0,0,,,,
1708.08996.json,0,0,,,,
1708.09005.json,0,0,,,,
1709.00621.json,0,0,,,,
1709.00782.json,0,0,,,,
1709.00999.json,0,0,,,,
1709.01313.json,0,0,,,,
1708.09087.json,0,0,,,,
1708.09009.json,0,0,,,,
1709.00988.json,0,0,,,,
1708.08902.json,0,0,,,,
1708.09561.json,0,0,,,,
1708.08178.json,0,0,,,,
1709.00526.json,0,0,,,,
1709.01320.json,0,0,,,,
1708.08228.json,0,0,,,,
1709.00273.json,0,0,,,,
1708.09218.json,0,0,,,,
1708.07961.json,0,0,,,,
1709.00604.json,0,0,,,,
1708.09827.json,0,0,,,,
1708.09590.json,0,0,,,,
1709.01350.json,0,0,,,,
1701.05125.json,0,0,,,,
1709.00957.json,0,0,,,,
1708.09138.json,0,0,,,,
1708.08144.json,0,0,,,,
1708.09661.json,0,0,,,,
1709.00411.json,0,0,,,,
1709.01494.json,0,0,,,,
1709.00867.json,0,0,,,,
1708.09410.json,0,0,,,,
1312.1658.json,0,0,,,,
1708.08438.json,0,0,,,,
1708.09132.json,0,0,,,,
1709.00348.json,0,0,,,,
1708.08299.json,0,0,,,,
1708.09669.json,0,0,,,,
1709.01282.json,0,0,,,,
1709.02471.json,0,0,,,,
1709.02582.json,0,0,,,,
1709.02656.json,0,0,,,,
,,,,,,
"n° de relevantes(""1-n""):",20,,,,,
n° de relevantes (1):,20,,,,,
Total,40,,,,,